date,region_code,contract_code,contract_name,calls_received,calls_answered,calls_answered_60s,calls_abandoned,calls_triaged,week_ending,pct_answered_60s,pct_abandoned,meets_60s_target
2025-11-24,East of England,111AC5,Cambridgeshire and Peterborough,1006,966,798,1006,804,2025-11-30,82.6,51.0,0
2025-11-24,East of England,111AC7,Milton Keynes,335,326,262,335,306,2025-11-30,80.4,50.7,0
2025-11-24,East of England,111AG7,Luton and Bedfordshire,829,816,696,829,720,2025-11-30,85.3,50.4,0
2025-11-24,East of England,111AG8,Norfolk including Great Yarmouth and Waveney,941,882,828,896,871,2025-11-30,93.9,50.4,0
2025-11-24,East of England,111AH4,Mid & South Essex,1136,1062,1008,1076,972,2025-11-30,94.9,50.3,0
2025-11-24,East of England,111AH7,North East Essex & Suffolk,1158,1016,802,1027,881,2025-11-30,78.9,50.3,0
2025-11-24,East of England,111AM1,West Essex & Hertfordshire,1429,1381,1130,1429,1235,2025-11-30,81.8,50.9,0
2025-11-24,London,111AD7,South East London,1691,1561,1104,1636,1426,2025-11-30,70.7,51.2,0
2025-11-24,London,111AH5,North East London,2565,2379,1615,2513,2332,2025-11-30,67.9,51.4,0
2025-11-24,London,111AJ1,North West London,1875,1791,1309,1830,1759,2025-11-30,73.1,50.5,0
2025-11-24,London,111AK9,South West London (PPG),1303,1257,983,1273,1336,2025-11-30,78.2,50.3,0
2025-11-24,London,111AL9,North Central London (LAS),1363,1262,901,1317,1190,2025-11-30,71.4,51.1,0
2025-11-24,Midlands,111AL7,Midlands,11404,11057,8338,11404,10286,2025-11-30,75.4,50.8,0
2025-11-24,North East and Yorkshire,111AA1,North East,3899,3234,2355,3547,2908,2025-11-30,72.8,52.3,0
2025-11-24,North East and Yorkshire,111AI7,Yorkshire and Humber (NECS),6974,5549,2187,6513,5168,2025-11-30,39.4,54.0,0
2025-11-24,North West,111AJ3,North West including Blackpool (ML CSU),6681,6181,2834,6681,5794,2025-11-30,45.9,51.9,0
2025-11-24,South East,111AA6,Isle of Wight,309,249,198,260,252,2025-11-30,79.5,51.1,0
2025-11-24,South East,111AG9,Thames Valley,2672,2279,522,2672,2112,2025-11-30,22.9,54.0,0
2025-11-24,South East,111AH9,Hampshire and Surrey Heath,2230,1917,471,2230,1787,2025-11-30,24.6,53.8,0
2025-11-24,South East,111AI2,Surrey Heartlands,953,793,619,808,674,2025-11-30,78.1,50.5,0
2025-11-24,South East,111AI9,"Kent, Medway & Sussex",3411,3069,2472,3163,3069,2025-11-30,80.5,50.8,0
2025-11-24,South West,111AI4,Dorset (DHC),1068,872,770,884,857,2025-11-30,88.3,50.3,0
2025-11-24,South West,111AI5,"Bristol, North Somerset & South Gloucestershire (BRISDOC)",1088,992,697,1005,986,2025-11-30,70.3,50.3,0
2025-11-24,South West,111AL2,Devon (PPG),1182,1042,847,1056,942,2025-11-30,81.3,50.3,0
2025-11-24,South West,111AL3,Cornwall (HUC),519,510,430,519,439,2025-11-30,84.3,50.4,0
2025-11-24,South West,111AL5,Somerset (HUC),554,528,418,554,455,2025-11-30,79.2,51.2,0
2025-11-24,South West,111AL6,"BaNES, Swindon & Wiltshire (Medvivo-PPG)",1158,1020,799,1052,951,2025-11-30,78.3,50.8,0
2025-11-24,South West,111AL8,Gloucestershire (Trust/IC24),647,615,577,629,597,2025-11-30,93.8,50.6,0
2025-11-25,East of England,111AC5,Cambridgeshire and Peterborough,913,892,743,913,739,2025-11-30,83.3,50.6,0
2025-11-25,East of England,111AC7,Milton Keynes,279,277,233,279,255,2025-11-30,84.1,50.2,0
2025-11-25,East of England,111AG7,Luton and Bedfordshire,717,701,610,717,642,2025-11-30,87.0,50.6,0
2025-11-25,East of England,111AG8,Norfolk including Great Yarmouth and Waveney,820,756,684,782,739,2025-11-30,90.5,50.8,0
2025-11-25,East of England,111AH4,Mid & South Essex,922,878,786,888,833,2025-11-30,89.5,50.3,0
2025-11-25,East of England,111AH7,North East Essex & Suffolk,887,766,527,791,647,2025-11-30,68.8,50.8,0
2025-11-25,East of England,111AM1,West Essex & Hertfordshire,1267,1243,1057,1267,1119,2025-11-30,85.0,50.5,0
2025-11-25,London,111AD7,South East London,1509,1386,806,1465,1253,2025-11-30,58.2,51.4,0
2025-11-25,London,111AH5,North East London,2164,2013,1149,2118,2016,2025-11-30,57.1,51.3,0
2025-11-25,London,111AJ1,North West London,1699,1567,868,1645,1587,2025-11-30,55.4,51.2,0
