week_ending,region_code,contract_code,contract_name,calls_received,calls_answered,calls_answered_60s,calls_abandoned,calls_triaged,pct_answered_60s,pct_abandoned,meets_60s_target
2025-11-30,East of England,111AC5,Cambridgeshire and Peterborough,7134,6859,5287,7134,5721,77.1,51.0,0
2025-11-30,East of England,111AC7,Milton Keynes,2014,1992,1772,2014,1853,89.0,50.3,0
2025-11-30,East of England,111AG7,Luton and Bedfordshire,5442,5287,4118,5442,4816,77.9,50.7,0
2025-11-30,East of England,111AG8,Norfolk including Great Yarmouth and Waveney,7340,6811,5345,7052,6725,78.5,50.9,0
2025-11-30,East of England,111AH4,Mid & South Essex,8455,7905,6147,8125,7419,77.8,50.7,0
2025-11-30,East of England,111AH7,North East Essex & Suffolk,7857,6917,4878,7132,6041,70.5,50.8,0
2025-11-30,East of England,111AM1,West Essex & Hertfordshire,10459,10090,7765,10459,9144,77.0,50.9,0
2025-11-30,London,111AD7,South East London,11780,10945,7046,11481,9941,64.4,51.2,0
2025-11-30,London,111AH5,North East London,16462,15448,9711,16161,15578,62.9,51.1,0
2025-11-30,London,111AJ1,North West London,13270,12361,7530,12911,12265,60.9,51.1,0
2025-11-30,London,111AK9,South West London (PPG),9708,9267,6157,9526,9530,66.4,50.7,0
2025-11-30,London,111AL9,North Central London (LAS),9453,8615,4605,9140,8088,53.5,51.5,0
2025-11-30,Midlands,111AL7,Midlands,80106,78912,68378,80106,73911,86.7,50.4,0
2025-11-30,North East and Yorkshire,111AA1,North East,25692,22452,16963,23639,20107,75.6,51.3,0
2025-11-30,North East and Yorkshire,111AI7,Yorkshire and Humber (NECS),49192,42129,23293,46277,38586,55.3,52.3,0
2025-11-30,North West,111AJ3,North West including Blackpool (ML CSU),47037,43266,20592,47037,41172,47.6,52.1,0
2025-11-30,South East,111AA6,Isle of Wight,2043,1636,1237,1763,1645,75.6,51.9,0
2025-11-30,South East,111AG9,Thames Valley,17706,15868,5963,17706,14799,37.6,52.7,0
2025-11-30,South East,111AH9,Hampshire and Surrey Heath,15969,14298,5725,15969,13284,40.0,52.8,0
2025-11-30,South East,111AI2,Surrey Heartlands,6795,5879,4103,6051,5115,69.8,50.7,0
2025-11-30,South East,111AI9,"Kent, Medway & Sussex",25011,21143,12466,22996,21143,59.0,52.1,0
2025-11-30,South West,111AI4,Dorset (DHC),7628,6140,4616,6385,5927,75.2,51.0,0
